"Value","Text","URL","Suggested Title","Suggested URL"
"4377","Simplus Full Face CPAP Mask with Headgear","","Simplus Full Face CPAP Mask","https://www.sleeping.com/products/fisher-paykel-simplus-full-face-cpap-mask"
"5484","Simplus Full Face CPAP Mask with Headgear - Fit Pack (All Sizes Included)","https://cpap.com/products/fisher-paykel-simplus-full-face-cpap-mask","Simplus Full Face CPAP Mask","https://www.sleeping.com/products/fisher-paykel-simplus-full-face-cpap-mask"
"6259","Solo Nasal Mask","","Fisher & Paykel Solo Nasal Mask","https://www.sleeping.com/products/fisher-paykel-solo-nasal-cpap-mask"
"6273","Solo Nasal Pillow Mask","https://cpap.com/products/fisher-paykel-solo-nasal-pillow-cpap-mask","Fisher & Paykel Solo Nasal Pillow Mask","https://www.sleeping.com/products/fisher-paykel-solo-nasal-pillow-cpap-mask"
"5653","Fisher & Paykel Vitera Full Face Mask with Headgear (S, M, or L Cushion)","","Fisher & Paykel Vitera Full Face Mask","https://www.sleeping.com/products/fisher-paykel-vitera-full-face-mask"
"5659","Fisher & Paykel Vitera Full Face Mask with Headgear - Fit Pack (All Sizes Included)","https://cpap.com/products/fisher-paykel-vitera-full-face-mask","Fisher & Paykel Vitera Full Face Mask","https://www.sleeping.com/products/fisher-paykel-vitera-full-face-mask"
"2875","Zest Nasal CPAP Mask with Headgear","","Fisher & Paykel Zest Nasal CPAP Mask","https://www.sleeping.com/products/fisher-paykel-zest-nasal-cpap-mask"
"3919","Zest Q Nasal CPAP Mask with Headgear","https://cpap.com/products/fisher-paykel-zest-q-nasal-cpap-mask","Fisher & Paykel Zest Q Nasal CPAP Mask","https://www.sleeping.com/products/fisher-paykel-zest-q-nasal-cpap-mask"
"2353","FlexiFit HC432 Full Face CPAP Mask with Headgear","","FlexiFit HC432 Full Face CPAP Mask","https://www.sleeping.com/products/flexifit-hc432-full-face-cpap-mask"
"4539","Pilairo Q Nasal Pillow CPAP Mask with Headgear","https://cpap.com/products/fp-pilairo-q-nasal-pillow-cpap-mask","Pilairo Q Nasal Pillow CPAP Mask","https://www.sleeping.com/products/fp-pilairo-q-nasal-pillow-cpap-mask"
