# sha256 10b505f91906ce3b69e5ea463b7dc1d910eed1a8bc2952290bc37ac707e94b2f
user_field_name,legacy_value,legacy_text,value,url,disposition
Machine,5880,AirSense 10 AutoSet with Heated Humidifer + Aifit N30i Nasal Mask Bundle,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5881,AirSense 10 AutoSet with Heated Humidifer + P30i Nasal Pillow Mask Bundle,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5883,DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle,DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5923,Luna G3 BPAP 25A Bi-Level CPAP Machine,Luna G3 BPAP 25A Bi-Level CPAP Machine,https://www.cpap.com/products/luna-g3-bpap-25a-bi-level-cpap-machine,resolves-to-product
Machine,5939,Monthly Payment Plan-ResMed AirSense 10 AutoSet CPAP Machine with HumidAir Heated Humidifier,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5965,DreamStation Go Auto with Heated Humidifier + DreamWear Mask Bundle,DreamStation Go Auto with Heated Humidifier + DreamWear Mask Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5966,DreamStation 2 Auto CPAP Advanced with Humidifier,DreamStation 2 Auto CPAP Advanced with Humidifier (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5968,LG 3800 BPAP 30VT,Luna G3 BPAP 30VT Bi-Level CPAP Machine (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,5993,AirSense 11 Autoset,AirSense 11 AutoSet,https://www.cpap.com/products/resmed-airsense-11-autoset,resolves-to-product
Machine,6000,Luna G3 CPAP,Luna G3 (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6011,Luna II Auto CPAP Machine with Mask Bundle,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6025,Luna G3 HMS,Luna G3 (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6040,Luna G3 APAP,Luna G3 (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6082,Airsense 10 Card to Cloud,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,6085,Somnetics Transcend Micro Travel Machine,Transcend Micro 510 Travel CPAP Machine,https://www.cpap.com/products/transcend-micro-510-travel-cpap-machine,resolves-to-product
Machine,6089,Transcend Micro Machine - backend,Transcend Micro Essentials Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6092,AirCurve 10 Vauto USA C2C CO,AirCurve 10 VAuto BiLevel Machine,https://www.cpap.com/products/aircurve-10-vauto-bilevel-machine,resolves-to-product
Machine,6125,Airsense 11 w/ ClimateLine,AirSense 11 AutoSet,https://www.cpap.com/products/resmed-airsense-11-autoset,resolves-to-product
Machine,6235,Transcend Micro Auto CPAP Machine - NEW,Transcend Micro 510 Travel CPAP Machine,https://www.cpap.com/products/transcend-micro-510-travel-cpap-machine,resolves-to-product
Machine,6236,AirCurve™ 11 VAuto with HumidAir™,AirCurve 11 VAuto with HumidAir,https://www.cpap.com/products/resmed-aircurve-11-vauto-bilevel-machine-with-humidair,resolves-to-product
Machine,6239,Luna TravelPAP,Luna TravelPAP (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6240,Aircurve 11 asv,AirCurve 11 ASV (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,6261,AS10 C2C OpenBox slimline,AS10 C2C Slimline (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,6262,AS10 C2C OpenBox Climateline,AS10 C2C Climateline (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,6263,Luna II with cellular modem,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6264,Luna II with WiFi modem,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6277,Transcend Micro Power Bundle,Transcend Micro Power Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6311,Luna 2- Damaged Box,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,6325,Transcend Micro Essentials Bundle,Transcend Micro Essentials Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6342,REFURB- AirMini,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,6343,REFURB - AirSense 10,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,6345,REFURB - AirSense 10 For Her,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,6372,Transcend Micro 510 Essential Bundle,Transcend Micro Essentials Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6373,Transcend Micro 510 Power Bundle,Transcend Micro Essentials Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6376,Transcend Micro 510,Transcend Micro Essentials Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6383,React Health G3 X Auto CPAP Machine,React Health G3 X Auto CPAP Machine,https://www.cpap.com/products/react-health-g3-x-auto-cpap-machine,resolves-to-product
Machine,6384,Refurb - Transcend Micro,Transcend Micro 510 Travel CPAP Machine,https://www.cpap.com/products/transcend-micro-510-travel-cpap-machine,resolves-to-product
Machine,6385,Refurb Z2 Auto,Z2 Auto Travel CPAP Machine (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,6386,Refurb AirSense 11 Auto,AirSense 11 AutoSet,https://www.cpap.com/products/resmed-airsense-11-autoset,resolves-to-product
Machine,6390,REFURB AirCurve 11 VAuto BiPAP Machine,AirCurve 11 VAuto with HumidAir,https://www.cpap.com/products/resmed-aircurve-11-vauto-bilevel-machine-with-humidair,resolves-to-product
