# sha256 2baf850e2b0f08c31996bc0406aa17db52e513192dcbc46969be25a0007051d5
user_field_name,value,url
Machine,AirCurve 11 ASV (Discontinued),https://www.cpap.com/collections/bipap-machines
Machine,AirSense 10 Elite with HumidAir (Discontinued),https://www.cpap.com/collections/cpap-machines
Mask,3B Medical Siesta Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks
